1950,04,07,Good Friday
1950,08,07,Civic Holiday
1950,09,04,Labour Day
1950,10,09,Thanksgiving
1951,03,23,Good Friday
1951,08,06,Civic Holiday
1951,09,03,Labour Day
1951,10,08,Thanksgiving
1952,04,11,Good Friday
1952,08,04,Civic Holiday
1952,09,01,Labour Day
1952,10,13,Thanksgiving
1953,04,03,Good Friday
1953,08,03,Civic Holiday
1953,09,07,Labour Day
1953,10,12,Thanksgiving
1954,04,16,Good Friday
1954,08,02,Civic Holiday
1954,09,06,Labour Day
1954,10,11,Thanksgiving
1955,04,08,Good Friday
1955,08,01,Civic Holiday
1955,09,05,Labour Day
1955,10,10,Thanksgiving
1956,03,30,Good Friday
1956,08,06,Civic Holiday
1956,09,03,Labour Day
1956,10,08,Thanksgiving
1957,04,19,Good Friday
1957,08,05,Civic Holiday
1957,09,02,Labour Day
1957,10,14,Thanksgiving
1958,04,04,Good Friday
1958,08,04,Civic Holiday
1958,09,01,Labour Day
1958,10,13,Thanksgiving
1959,03,27,Good Friday
1959,08,03,Civic Holiday
1959,09,07,Labour Day
1959,10,12,Thanksgiving
1960,04,15,Good Friday
1960,08,01,Civic Holiday
1960,09,05,Labour Day
1960,10,10,Thanksgiving
1961,03,31,Good Friday
1961,08,07,Civic Holiday
1961,09,04,Labour Day
1961,10,09,Thanksgiving
1962,04,20,Good Friday
1962,08,06,Civic Holiday
1962,09,03,Labour Day
1962,10,08,Thanksgiving
1963,04,12,Good Friday
1963,08,05,Civic Holiday
1963,09,02,Labour Day
1963,10,14,Thanksgiving
1964,03,27,Good Friday
1964,08,03,Civic Holiday
1964,09,07,Labour Day
1964,10,12,Thanksgiving
1965,04,16,Good Friday
1965,08,02,Civic Holiday
1965,09,06,Labour Day
1965,10,11,Thanksgiving
1966,04,08,Good Friday
1966,08,01,Civic Holiday
1966,09,05,Labour Day
1966,10,10,Thanksgiving
1967,03,24,Good Friday
1967,08,07,Civic Holiday
1967,09,04,Labour Day
1967,10,09,Thanksgiving
1968,04,12,Good Friday
1968,08,05,Civic Holiday
1968,09,02,Labour Day
1968,10,14,Thanksgiving
1969,04,04,Good Friday
1969,08,04,Civic Holiday
1969,09,01,Labour Day
1969,10,13,Thanksgiving
1970,03,27,Good Friday
1970,08,03,Civic Holiday
1970,09,07,Labour Day
1970,10,12,Thanksgiving
1971,04,09,Good Friday
1971,08,02,Civic Holiday
1971,09,06,Labour Day
1971,10,11,Thanksgiving
1972,03,31,Good Friday
1972,08,07,Civic Holiday
1972,09,04,Labour Day
1972,10,09,Thanksgiving
1973,04,20,Good Friday
1973,08,06,Civic Holiday
1973,09,03,Labour Day
1973,10,08,Thanksgiving
1974,04,12,Good Friday
1974,08,05,Civic Holiday
1974,09,02,Labour Day
1974,10,14,Thanksgiving
1975,03,28,Good Friday
1975,08,04,Civic Holiday
1975,09,01,Labour Day
1975,10,13,Thanksgiving
1976,04,16,Good Friday
1976,08,02,Civic Holiday
1976,09,06,Labour Day
1976,10,11,Thanksgiving
1977,04,08,Good Friday
1977,08,01,Civic Holiday
1977,09,05,Labour Day
1977,10,10,Thanksgiving
