Ottawa,Canada,-4,0
Toronto,Canada,-4,0
Vancouver,Canada,-7,0
New York,USA,-4,0
Los Angelas,USA,-7,0
Seattle,USA,-7,0
Hawaii,USA,-10,0
Beijing,China,8,0
Islamabad,Pakistan,5,0
New Delhi,India,5,30
Toyko,Japan,9,0
Seoul,Korea,9,0
Bangkok,Thailand,7,0
London,England,1,0
Berlin,Germany,2,0
Paris,France,2,0
Rome,Italy,2,0
Oslo,Norway,2,0
Madrid,Spain,2,0
Amsterdam,Netherlands,2,0
Sydney,Australia,10,0
Canberra,Australia,10,0
Singapore,Singapore,5,0
Brasilia,Brazil,-3,0
Moscow,Russia,3,0
Cape Town,South Africa,2,0
Wellington,New Zealand,12,0
